tahun,bulan,provinsi,nama_pintu_masuk,jenis_pintu_masuk,jumlah_kunjungan_wisman
2023,Desember,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,87873
2022,Januari,BALI,Ngurah Rai,Udara,0
2022,Januari,DKI JAKARTA,Soekarno-Hatta,Udara,14073
2022,Januari,JAWA TIMUR,Juanda,Udara,0
2022,Januari,SUMATERA UTARA,Kualanamu,Udara,0
2022,Januari,JAWA BARAT,Husein Sastranegara,Udara,0
2022,Januari,DI YOGYAKARTA,Adi Sucipto,Udara,0
2022,Januari,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,0
2022,Januari,SULAWESI UTARA,Sam Ratulangi,Udara,466
2022,Januari,SUMATERA BARAT,Minangkabau,Udara,0
2022,Januari,RIAU,Sultan Syarif Kasim II,Udara,0
2022,Januari,ACEH,Sultan Iskandar Muda,Udara,0
2022,Januari,JAWA TENGAH,Ahmad Yani,Udara,0
2022,Januari,KALIMANTAN BARAT,Supadio,Udara,0
2022,Januari,SULAWESI SELATAN,Hasanuddin,Udara,0
2022,Januari,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
2022,Januari,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,16
2022,Januari,KEP. RIAU,Batam,Laut,240
2022,Januari,KEP. RIAU,Tanjung Uban,Laut,88
2022,Januari,KEP. RIAU,Tanjung Pinang,Laut,0
2022,Januari,KEP. RIAU,Tanjung Balai Karimun,Laut,0
2022,Januari,BALI,Tanjung Benoa,Laut,3
2022,Januari,JAWA TENGAH,Tanjung Mas,Laut,0
2022,Januari,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,58111
2022,Januari,PAPUA,Jayapura,Darat,0
2022,Januari,NUSA TENGGARA TIMUR,Atambua,Darat,234
2022,Januari,KALIMANTAN BARAT,Entikong,Darat,0
2022,Januari,KALIMANTAN BARAT,Aruk,Darat,0
2022,Januari,KALIMANTAN BARAT,Nanga Badau,Darat,0
2022,Januari,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,63067
2022,Februari,BALI,Ngurah Rai,Udara,1293
2022,Februari,DKI JAKARTA,Soekarno-Hatta,Udara,15406
2022,Februari,JAWA TIMUR,Juanda,Udara,0
2022,Februari,SUMATERA UTARA,Kualanamu,Udara,0
2022,Februari,JAWA BARAT,Husein Sastranegara,Udara,0
2022,Februari,DI YOGYAKARTA,Adi Sucipto,Udara,0
2022,Februari,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,488
2022,Februari,SULAWESI UTARA,Sam Ratulangi,Udara,647
2022,Februari,SUMATERA BARAT,Minangkabau,Udara,0
2022,Februari,RIAU,Sultan Syarif Kasim II,Udara,0
2022,Februari,ACEH,Sultan Iskandar Muda,Udara,0
2022,Februari,JAWA TENGAH,Ahmad Yani,Udara,0
2022,Februari,KALIMANTAN BARAT,Supadio,Udara,0
2022,Februari,SULAWESI SELATAN,Hasanuddin,Udara,0
2022,Februari,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
2022,Februari,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,0
2022,Februari,KEP. RIAU,Batam,Laut,329
2022,Februari,KEP. RIAU,Tanjung Uban,Laut,31
2022,Februari,KEP. RIAU,Tanjung Pinang,Laut,4
2022,Februari,KEP. RIAU,Tanjung Balai Karimun,Laut,0
2022,Februari,BALI,Tanjung Benoa,Laut,17
2022,Februari,JAWA TENGAH,Tanjung Mas,Laut,0
2022,Februari,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,51158
2022,Februari,PAPUA,Jayapura,Darat,0
2022,Februari,NUSA TENGGARA TIMUR,Atambua,Darat,226
2022,Februari,KALIMANTAN BARAT,Entikong,Darat,0
2022,Februari,KALIMANTAN BARAT,Aruk,Darat,0
2022,Februari,KALIMANTAN BARAT,Nanga Badau,Darat,0
2022,Februari,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,47910
2022,Maret,BALI,Ngurah Rai,Udara,14617
2022,Maret,DKI JAKARTA,Soekarno-Hatta,Udara,23320
2022,Maret,JAWA TIMUR,Juanda,Udara,57
2022,Maret,SUMATERA UTARA,Kualanamu,Udara,11
2022,Maret,JAWA BARAT,Husein Sastranegara,Udara,0
2022,Maret,DI YOGYAKARTA,Adi Sucipto,Udara,0
2022,Maret,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,12
2022,Maret,SULAWESI UTARA,Sam Ratulangi,Udara,1045
2022,Maret,SUMATERA BARAT,Minangkabau,Udara,0
2022,Maret,RIAU,Sultan Syarif Kasim II,Udara,0
2022,Maret,ACEH,Sultan Iskandar Muda,Udara,0
