provinsi,bulan,jumlah_kunjungan_wisnus,tahun
SULAWESI UTARA,Juni,394131,2022
SULAWESI TENGAH,Juni,597158,2022
SULAWESI SELATAN,Juni,2492319,2022
SULAWESI TENGGARA,Juni,1050720,2022
GORONTALO,Juni,130595,2022
SULAWESI BARAT,Juni,409575,2022
MALUKU,Juni,51382,2022
MALUKU UTARA,Juni,140421,2022
PAPUA BARAT,Juni,39956,2022
PAPUA,Juni,81989,2022
ACEH,Juli,748573,2022
SUMATERA UTARA,Juli,2216932,2022
SUMATERA BARAT,Juli,1176922,2022
RIAU,Juli,795698,2022
JAMBI,Juli,364514,2022
SUMATERA SELATAN,Juli,834754,2022
BENGKULU,Juli,203448,2022
LAMPUNG,Juli,1043996,2022
KEP. BANGKA BELITUNG,Juli,146618,2022
KEP. RIAU,Juli,149456,2022
DKI JAKARTA,Juli,4623932,2022
JAWA BARAT,Juli,11576829,2022
JAWA TENGAH,Juli,7996200,2022
DI YOGYAKARTA,Juli,2197650,2022
JAWA TIMUR,Juli,16068542,2022
BANTEN,Juli,3451864,2022
BALI,Juli,1288444,2022
NUSA TENGGARA BARAT,Juli,351214,2022
NUSA TENGGARA TIMUR,Juli,309202,2022
KALIMANTAN BARAT,Juli,315667,2022
KALIMANTAN TENGAH,Juli,257012,2022
KALIMANTAN SELATAN,Juli,529472,2022
KALIMANTAN TIMUR,Juli,573460,2022
KALIMANTAN UTARA,Juli,32132,2022
SULAWESI UTARA,Juli,436556,2022
SULAWESI TENGAH,Juli,646673,2022
SULAWESI SELATAN,Juli,2732814,2022
SULAWESI TENGGARA,Juli,1231851,2022
GORONTALO,Juli,140784,2022
SULAWESI BARAT,Juli,442861,2022
MALUKU,Juli,48932,2022
MALUKU UTARA,Juli,157797,2022
PAPUA BARAT,Juli,39706,2022
PAPUA,Juli,86039,2022
ACEH,Agustus,531072,2022
SUMATERA UTARA,Agustus,1678953,2022
SUMATERA BARAT,Agustus,905311,2022
RIAU,Agustus,662795,2022
JAMBI,Agustus,285681,2022
SUMATERA SELATAN,Agustus,659155,2022
BENGKULU,Agustus,158883,2022
LAMPUNG,Agustus,772720,2022
KEP. BANGKA BELITUNG,Agustus,117743,2022
KEP. RIAU,Agustus,123680,2022
DKI JAKARTA,Agustus,4521438,2022
JAWA BARAT,Agustus,9433636,2022
JAWA TENGAH,Agustus,6551001,2022
DI YOGYAKARTA,Agustus,1703347,2022
JAWA TIMUR,Agustus,13235419,2022
BANTEN,Agustus,3312882,2022
BALI,Agustus,1152090,2022
NUSA TENGGARA BARAT,Agustus,288102,2022
NUSA TENGGARA TIMUR,Agustus,252218,2022
KALIMANTAN BARAT,Agustus,258920,2022
KALIMANTAN TENGAH,Agustus,223441,2022
KALIMANTAN SELATAN,Agustus,422558,2022
KALIMANTAN TIMUR,Agustus,521964,2022
KALIMANTAN UTARA,Agustus,29288,2022
SULAWESI UTARA,Agustus,352431,2022
SULAWESI TENGAH,Agustus,532060,2022
SULAWESI SELATAN,Agustus,2136650,2022
SULAWESI TENGGARA,Agustus,1097809,2022
GORONTALO,Agustus,113456,2022
SULAWESI BARAT,Agustus,373165,2022
MALUKU,Agustus,46979,2022
MALUKU UTARA,Agustus,135693,2022
PAPUA BARAT,Agustus,40948,2022
PAPUA,Agustus,84147,2022
ACEH,September,500673,2022
SUMATERA UTARA,September,1664991,2022
SUMATERA BARAT,September,891560,2022
RIAU,September,677309,2022
JAMBI,September,280278,2022
SUMATERA SELATAN,September,668784,2022
BENGKULU,September,159439,2022
LAMPUNG,September,833337,2022
KEP. BANGKA BELITUNG,September,120832,2022
KEP. RIAU,September,123914,2022
DKI JAKARTA,September,5423854,2022
JAWA BARAT,September,9923223,2022
JAWA TENGAH,September,7168810,2022
DI YOGYAKARTA,September,1798014,2022
JAWA TIMUR,September,12461460,2022
BANTEN,September,3701537,2022
BALI,September,1125727,2022
NUSA TENGGARA BARAT,September,286740,2022
NUSA TENGGARA TIMUR,September,249094,2022
KALIMANTAN BARAT,September,239591,2022
KALIMANTAN TENGAH,September,217319,2022
KALIMANTAN SELATAN,September,399050,2022
KALIMANTAN TIMUR,September,507079,2022
KALIMANTAN UTARA,September,27807,2022
SULAWESI UTARA,September,360004,2022
SULAWESI TENGAH,September,515189,2022
SULAWESI SELATAN,September,1803376,2022
SULAWESI TENGGARA,September,1044426,2022
GORONTALO,September,109350,2022
SULAWESI BARAT,September,318147,2022
MALUKU,September,52568,2022
MALUKU UTARA,September,132686,2022
PAPUA BARAT,September,39159,2022
PAPUA,September,78700,2022
ACEH,Oktober,513056,2022
SUMATERA UTARA,Oktober,1785747,2022
SUMATERA BARAT,Oktober,949081,2022
RIAU,Oktober,692329,2022
